Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
810	-115498	-115503	4.89389	0.06926845	0.01812937	0.05113908	0.01812937
820	-115499	-115504	4.89463	0.06805286	0.01620557	0.05184729	0.01620557
830	-115501	-115505	4.88421	0.07044526	0.02075796	0.0496873	0.02075796
840	-115497	-115502	4.88417	0.07052168	0.01838709	0.05213459	0.01838709
850	-115497	-115502	4.88047	0.07078997	0.0180177	0.05277228	0.0180177
860	-115498	-115502	4.88351	0.07079689	0.01974156	0.05105533	0.01974156
870	-115498	-115503	4.8733	0.07203341	0.01989093	0.05214247	0.01989093
880	-115497	-115502	4.88354	0.07000501	0.01716146	0.05284355	0.01716146
890	-115498	-115503	4.87697	0.06849866	0.01487335	0.05362531	0.01487335
900	-115498	-115503	4.87944	0.06815027	0.01479793	0.05335234	0.01479793
910	-115498	-115502	4.87678	0.06897627	0.01524508	0.05373119	0.01524508
920	-115497	-115502	4.88083	0.07109276	0.01916789	0.05192488	0.01916789
930	-115497	-115502	4.88651	0.06935511	0.01668336	0.05267175	0.01668336
940	-115498	-115503	4.87031	0.07233289	0.02081519	0.0515177	0.02081519
950	-115498	-115503	4.88674	0.07038387	0.01934809	0.05103578	0.01934809
960	-115500	-115505	4.88024	0.07083868	0.02119295	0.04964573	0.02119295
970	-115497	-115502	4.8824	0.0687692	0.01556515	0.05320405	0.01556515
980	-115497	-115502	4.88415	0.07038514	0.01801189	0.05237324	0.01801189
990	-115497	-115502	4.88358	0.07074204	0.01900403	0.05173801	0.01900403
1000	-115502	-115506	4.86085	0.07342245	0.02047043	0.05295202	0.02047043
1010	-115497	-115502	4.87989	0.07097717	0.01832553	0.05265163	0.01832553
1020	-115497	-115502	4.88398	0.07009394	0.01738824	0.0527057	0.01738824
1030	-115497	-115502	4.87938	0.07126787	0.01921562	0.05205225	0.01921562
1040	-115497	-115502	4.88725	0.07001305	0.01796294	0.05205011	0.01796294
1050	-115497	-115502	4.88544	0.07036354	0.01834976	0.05201378	0.01834976
1060	-115500	-115505	4.84718	0.06758705	0.01268336	0.05490369	0.01268336
1070	-115497	-115502	4.87965	0.07017334	0.01681478	0.05335857	0.01681478
1080	-115498	-115503	4.87414	0.07181522	0.02095633	0.05085889	0.02095633
1090	-115497	-115502	4.88753	0.06917079	0.01658679	0.052584	0.01658679
1100	-115497	-115502	4.8843	0.07033738	0.01793832	0.05239905	0.01793832
1110	-115497	-115502	4.88889	0.07004138	0.01870704	0.05133434	0.01870704
1120	-115497	-115502	4.8836	0.07069754	0.01879041	0.05190713	0.01879041
1130	-115498	-115502	4.87801	0.07057915	0.01716077	0.05341837	0.01716077
1140	-115502	-115507	4.84878	0.07431824	0.02291646	0.05140178	0.02291646
1150	-115499	-115504	4.86895	0.07251867	0.01990335	0.05261532	0.01990335
1160	-115497	-115502	4.88286	0.06983468	0.01680591	0.05302877	0.01680591
1170	-115497	-115502	4.88057	0.07073367	0.0179168	0.05281687	0.0179168
1180	-115499	-115504	4.8704	0.07003643	0.01564716	0.05438927	0.01564716
1190	-115497	-115502	4.88254	0.07027514	0.01743368	0.05284146	0.01743368
1200	-115497	-115502	4.88746	0.06987662	0.01770865	0.05216797	0.01770865
1210	-115499	-115503	4.86659	0.06881575	0.01437621	0.05443954	0.01437621
1220	-115497	-115502	4.88541	0.06926402	0.01641809	0.05284593	0.01641809
1230	-115497	-115502	4.8853	0.06965448	0.01691717	0.05273731	0.01691717
1240	-115500	-115505	4.86358	0.07313023	0.02058947	0.05254076	0.02058947
1250	-115497	-115502	4.88699	0.06988152	0.01761042	0.0522711	0.01761042
1260	-115500	-115505	4.86213	0.07325687	0.02108834	0.05216853	0.02108834
1270	-115497	-115502	4.88738	0.06984052	0.01761517	0.05222534	0.01761517
1280	-115497	-115502	4.88436	0.07068086	0.01927871	0.05140215	0.01927871
1290	-115497	-115502	4.88273	0.07047081	0.01785255	0.05261826	0.01785255
1300	-115498	-115503	4.87661	0.07125418	0.0181466	0.05310758	0.0181466
1310	-115497	-115502	4.88522	0.0693217	0.01646296	0.05285874	0.01646296
1320	-115498	-115503	4.87465	0.06877578	0.01491061	0.05386517	0.01491061
1330	-115499	-115504	4.86023	0.06836651	0.01371426	0.05465225	0.01371426
1340	-115498	-115503	4.87169	0.06934451	0.01513934	0.05420518	0.01513934
1350	-115499	-115504	4.89595	0.06830246	0.01671987	0.05158259	0.01671987
1360	-115497	-115502	4.88307	0.07080236	0.01900578	0.05179658	0.01900578
1370	-115498	-115502	4.87716	0.06920679	0.01548056	0.05372623	0.01548056
1380	-115497	-115502	4.88002	0.07121774	0.02009171	0.05112603	0.02009171
1390	-115497	-115502	4.88737	0.07001651	0.01800552	0.05201098	0.01800552
1400	-115498	-115503	4.87437	0.07159901	0.01842304	0.05317598	0.01842304
1410	-115497	-115502	4.87751	0.0691536	0.01546376	0.05368984	0.01546376
1420	-115498	-115503	4.88916	0.06843481	0.0159436	0.05249121	0.0159436
1430	-115497	-115502	4.88982	0.06951192	0.017519	0.05199292	0.017519
1440	-115497	-115502	4.88691	0.06892838	0.01621261	0.05271577	0.01621261
1450	-115498	-115503	4.89325	0.06939956	0.01830014	0.05109941	0.01830014
1460	-115497	-115502	4.88547	0.07018957	0.01790163	0.05228794	0.01790163
1470	-115497	-115502	4.88394	0.06896646	0.01591296	0.0530535	0.01591296
1480	-115497	-115502	4.88696	0.07023482	0.01852066	0.05171417	0.01852066
1490	-115499	-115503	4.87151	0.0721847	0.01946304	0.05272166	0.01946304
1500	-115497	-115502	4.87836	0.06934026	0.01571739	0.05362288	0.01571739
1510	-115498	-115503	4.89198	0.06946947	0.01801119	0.05145828	0.01801119
1520	-115498	-115503	4.86678	0.06831722	0.01405815	0.05425907	0.01405815
1530	-115498	-115502	4.87875	0.06865948	0.01514392	0.05351556	0.01514392
1540	-115497	-115502	4.88423	0.07038926	0.01804473	0.05234453	0.01804473
1550	-115497	-115502	4.89018	0.06947262	0.01752404	0.05194857	0.01752404
1560	-115498	-115503	4.89249	0.06888496	0.01697298	0.05191197	0.01697298
1570	-115498	-115503	4.86865	0.07252677	0.02086065	0.05166613	0.02086065
1580	-115497	-115502	4.88182	0.07094856	0.0190019	0.05194666	0.0190019
1590	-115498	-115503	4.89241	0.06824469	0.01613085	0.05211384	0.01613085
1600	-115498	-115502	4.88996	0.06864794	0.0162747	0.05237324	0.0162747
1610	-115497	-115502	4.88728	0.07013858	0.01831995	0.05181863	0.01831995
1620	-115499	-115504	4.86536	0.07290254	0.02095285	0.05194969	0.02095285
1630	-115498	-115502	4.88312	0.07084226	0.01980902	0.05103325	0.01980902
1640	-115498	-115503	4.87359	0.07199191	0.02035201	0.05163989	0.02035201
1650	-115497	-115502	4.88491	0.07016562	0.01771475	0.05245087	0.01771475
1660	-115498	-115502	4.88869	0.07009169	0.01885391	0.05123778	0.01885391
1670	-115498	-115503	4.87628	0.06836422	0.01472022	0.053644	0.01472022
1680	-115499	-115504	4.86264	0.07282016	0.02228388	0.05053628	0.02228388
1690	-115498	-115503	4.87192	0.07219736	0.02010473	0.05209263	0.02010473
1700	-115497	-115502	4.88281	0.07081518	0.01890996	0.05190522	0.01890996
1710	-115497	-115502	4.88131	0.07073387	0.01809973	0.05263414	0.01809973
1720	-115498	-115502	4.87792	0.07045076	0.0169575	0.05349326	0.0169575
1730	-115498	-115503	4.87459	0.06880292	0.01492725	0.05387568	0.01492725
1740	-115497	-115502	4.88349	0.06935475	0.01628463	0.05307012	0.01628463
1750	-115497	-115502	4.89049	0.06968668	0.01811126	0.05157542	0.01811126
1760	-115497	-115502	4.87735	0.07153284	0.01944055	0.05209229	0.01944055
